 ,Unnamed: 23
UR,0.0017488632388947185
Доход по атрибуции MB,85135
Покупок по атрибуции MB,23
Средний чек по атрибуции,3701.523913043478
Конверсия в заказы,0.008044770898915705
,
NY landing 2020 DOI promocode,
Ссылка на визуал,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=3674937299256213504&hash=153CCA4B531A0E58D9519FD52148987A130FBFE7&format=Html
Условия отправки,Ваш промокод уже здесь!
Доставлено,3375
Открытия,2093
OR,0.6201481481481481
Кликов,258
CR,0.07644444444444444
CTR,0.12326803631151458
Отписок,4
UR,0.0011851851851851852
Доход по атрибуции MB,59670
Покупок по атрибуции MB,13
Средний чек по атрибуции,4590.051538461538
Конверсия в заказы,0.003851851851851852
,
Копия Елка SMS,
Доставлено,608
,
SMS с опросом,
Ссылка на визуал,(blank)
Условия отправки,Без темы
Доставлено,2596
Открытия,0
OR,0.0
Кликов,0
CR,0.0
CTR,0.0
Отписок,0
UR,0.0
Доход по атрибуции MB,0
Покупок по атрибуции MB,0
Средний чек по атрибуции,0.0
Конверсия в заказы,0.0
,
